,ind1,ind2,vina_score,Unnamed: 3,smiles,mol,carbonyl,carboxylic acid,primary amine,alcohol,ester,amide,acid halide,fluorine halide,chlorine halide,bromine halide,iodine halide,anhydride,ether,secondary amine,enamine,alene,vinyl,phenol,fluorine,chlorine,Bromine,Iodine
0,0,0,-10.6,ERGOTAMINE,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a245df0>,3,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
1,1,1,-10.0,METERGOTAMINE,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CN(C8=CC=CC(=C78)C6=C5)C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a245e40>,3,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
2,2,2,-9.9,ABBV-744,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a245e90>,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,3,3,-9.9,DERQUANTEL,CC1(C=COC2=C(O1)C=CC3=C2NCC34CC56CN7CCC(C7(CC5C4(C)C)C(=O)N6C)(C)O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a245ee0>,1,0,0,1,0,1,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0
4,4,4,-9.9,MERGOCRIPTINE,CC1=C2CC3C(=CC(CN3C)C(=O)NC4(C(=O)N5C(C(=O)N6CCCC6C5(O4)O)CC(C)C)C(C)C)C7=C2C(=CC=C7)N1,<rdkit.Chem.rdchem.Mol object at 0x7f562a245f30>,3,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
5,5,5,-9.8,ALVELESTAT,CC1=C(C=C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C(=O)NCC3=NC=C(C=C3)S(=O)(=O)C)C4=CC=NN4C,<rdkit.Chem.rdchem.Mol object at 0x7f562a245f80>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
6,6,6,-9.7,TOTROMBOPAG,CC1=C(C=C(C=C1)N2C(=O)C(C(=N2)C)N=NC3=CC=CC(=C3[O-])C4=CC(=CC=C4)C5=NNN=N5)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246030>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,7,7,-9.6,BROMOCRIPTINE,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246080>,3,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
8,8,8,-9.5,BISNAFIDE,CC(CNCCNCC(C)N1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)[N+](=O)[O-])N4C(=O)C5=CC=CC6=CC(=CC(=C65)C4=O)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f562a2460d0>,4,0,0,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
9,9,9,-9.5,NEDISERTIB,COC1=NN=C(C=C1)C(C2=C(C=C(C(=C2)C3=NC=NC4=C3C=CC(=C4)N5CCOCC5)F)Cl)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246120>,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0
10,10,10,-9.5,PREDNISOLONE METAZOATE,CC12CC(C3C(C1CCC2(C(=O)COC(=O)C4=CC(=CC=C4)S(=O)(=O)O)O)CCC5=CC(=O)C=CC35C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246170>,3,0,0,2,2,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
11,11,11,-9.4,ENTRECTINIB,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f562a2461c0>,1,0,0,0,0,1,1,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0
12,12,12,-9.4,FAZADINIUM,CC1=C(N(C2=CC=CC=[N+]12)N=NN3C4=CC=CC=[N+]4C(=C3C5=CC=CC=C5)C)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f562a246210>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,-9.4,GALICAFTOR,C1CC1(C2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4CC(OC5=C4C=CC(=C5)OC(F)F)C6=CC=C(C=C6)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246260>,2,1,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
14,14,14,-9.4,LORECIVIVINT,CC(C)CC(=O)NC1=CN=CC(=C1)C2=CC3=C(C=C2)NN=C3C4=NC5=C(N4)C=NC=C5C6=CC(=CC=C6)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2462b0>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
15,15,15,-9.4,TROVAFLOXACIN,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246300>,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0
16,16,16,-9.3,AMG-900,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a246350>,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
17,17,17,-9.3,BOLMANTALATE,CC12CCC3C(C1CCC2OC(=O)C45CC6CC(C4)CC(C6)C5)CCC7=CC(=O)CCC37,<rdkit.Chem.rdchem.Mol object at 0x7f562a2463a0>,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
18,18,18,-9.3,CE-326597,CC(C)N(CC1=CC=CC=C1)C(=O)CN2C3=CC=CC=C3N4C(=NN=C4C5=CC=CC=C5)C(C2=O)CC6=CNC7=CC=CC=C76,<rdkit.Chem.rdchem.Mol object at 0x7f562a2463f0>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,19,19,-9.3,OPIGOLIX,CC(C(=NS(=O)(=O)C1=C(C=CC(=C1)C(=C(C2=NC3=CC=CC=C3N2)C(=O)C4=C(C=CC(=C4)F)F)O)F)N)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246440>,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0
